id,text,place.name,place.country
593891101313896449,LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.  https://t.co/X7deoPbS97,Mesa,United States
593891102895296512,"How dare @EdMiliband_MP force Socialists to chose between the English LP and the SNP! The #SNP are the last, true Socialist party in the UK",Edinburgh,United Kingdom
593891112407924736,Account for every penny? Like you did last time? Your nose should be 2 foot long! https://t.co/k4NMrenulf,Hove,United Kingdom
593891116363214848,"@ScotlandTonight If Miliband will step aside to let Tories in, we need 59 SNP MPs more than ever to stand up for Scotland @theSNP #VoteSNP",Scotland,United Kingdom
593891141914894337,Kezia doll stop making a pure clown of yourself hen !!! #snp,Glasgow,United Kingdom
593891146939629569,"@naebD and y'know, the tories not voting down supply bills. like they did that one time.",Scotland,United Kingdom
593891152249622529,These pundits talking about reaction of #bbcqt audience is ludicrous. On the BBC's own admission half of them were Tories &amp; LibDens,Derby,United Kingdom
593891306537095169,@blairmcdougall @scottishlabour @ScotlandTonight @bbcqt LOL without SNP Labour will not get that chance stale mate!,City of London,United Kingdom
593891320357335040,@Ed_Miliband doesn't want to be in government if means being in coalition with the SNP I think he's about to be granted his wish,South East,United Kingdom
593891454440837120,The EU is one of the greatest things for our country and economy. Farage is a filthy racist.,Bristol,United Kingdom
593891491686277121,"When I see people older than me falling for the UKIP PR machine it makes me really sad, do you know what you're voting for? #GE2015",Dickens Heath,United Kingdom
593891491791015937,UK's Labour leader Miliband stumbles after live TV questions from voters http://t.co/o3eaIng7Yv,渋谷区,日本
593891495570182144,@Ed_Miliband would rather see tories in office than work with the snp. What a self interested neo-liberal tribal scumbag he is. Vote Plaid.,Newport,United Kingdom
593891651430526977,Still think it's barmy that Cameron won't debate Miliband. Surely it's a prerequisite of such proceedings. Should be compulsory! #bbcqt,Leeds,United Kingdom
593891653296979968,"""...now I'm saying I'd rather put Tories in power than make a compromise that would satisfy my traditional core voters.""",Uppsala,Sverige
593891656220463104,"Tomorrow Miliband will say 'let me tell you this, I'm not even voting for myself in case I do a deal with the SNP'.",Croydon,United Kingdom
593891669466075137,@Dungarbhan @lenathehyena @UKLabour @Ed_Miliband Time for SNP to be clear - will they vote for Labour or let the Tories in.,Newcastle Upon Tyne,United Kingdom
593891674713108480,"“@BBCJamesCook: Ed Miliband says he'd rather not have a Labour government than do a ""confidence and supply"" deal with the SNP. #GE2015” lol",Falkirk,United Kingdom
593891803801264129,"Milliband keeps coming out with this ""out to win an outright majority"" patter.

I think we all want to know, what's his ""Plan B"" ?",Motherwell,United Kingdom
593891835468259329,Labour are pissed off the Tories didn't govern alone the last 5 years and make bigger cuts. Do the care about people or power?,Walthamstow,United Kingdom
593891842111987712,@nickrobinsonBBC David Cameron was called a liar three times. Yet one person called Miliband a liar and that has been reported,Birmingham,United Kingdom
593891971070107648,@Ed_Miliband Well Mr Miliband let me be clear I'll never Vote Labour I'd rather die,Innerleithen,United Kingdom
593892009414373376,"@portyalliance Clegg is not a main contender to be truthful he was the tail of Tory dog, pathetic excuse for a man and a party",City of London,United Kingdom
593892162959474689,It's hilarious how much Labour think the SNP should just let them win.,Wishaw,United Kingdom
593892166235201537,@flyingdavy @magnethead_666 @Ed_Miliband @JimForScotland Plan B is SNP is Very Bad  not just bad,Glasgow,United Kingdom
593892314973655041,@abstex @AnnPettifor nice to see David Cameron in the photo too,Lewes,United Kingdom
593892344493137920,@UKIP @Nigel_Farage Bolton's National Treasure or a clown who doesn't know his arse form his elbow? Think the BBC did us a favour,Wigton,United Kingdom
593892350285500417,#newsnight strangely leaving out the businesswoman who nailed Ed Miliband in their package I wonder why,South East,United Kingdom
593892350994345984,"#lastleg UKIP manifesto. No coloureds, no Irish, no dogs.",Golborne,United Kingdom
593892500613570560,@ScotlandTonight Edd has just drowned his party here in Scotland......what a comment to make ref the SNP and coalition ......,Glasgow,United Kingdom
593892514727370752,#Newsnight showed the Milliband stumble. Why? WHY?,Gateshead,United Kingdom
593892524143603712,"SNP supporters quick to twist Milliband's words. Didn't say he was against Scottish partnership, said was against nationalist partnership.",Scotland,United Kingdom
593892652921282560,"Question to Jeremy Paxman: ""what do you think of Ukip?""
Paxman: ""not much"" #TheLastLeg",Leamington Spa,United Kingdom
593892654334750721,"""I'm not going to give into the SNP about the trident"" shut the fuck up ed milliband ya dick",Troon,United Kingdom
593892656658395136,"Business likes the Tories because they let workers be exploited confirmed on  Question Time
Vote @UKLabour @willscobie",Staple,United Kingdom
593892675000107008,"Ok England you all know whats happening now Labour would rather tory's win, so vote Greens all you disgusted labour voters in England",Mold,United Kingdom
593892828666851328,ed milliband did himself no harm today especially with his strong views on SNP and coalition gov #bbcqt,Winchester,United Kingdom
593892831007252480,@mikeyyy92 damned if he does to an extent. IMHO he will replace SNP with LIB DEM. won't give a maj but will lead a min gov,Edwinstowe,United Kingdom
593892838594748416,"@Gildy55 bases as SNP, Plaid Cymru talk of doing...",North East,United Kingdom
593892864465248256,@MohawkMikey83 we shall agree to differ... meanwhile thanks for the chat..  it is all ifs and ands.lets hope the tories don.t romp home...,South West,United Kingdom
593892865744449539,"Proud of Nick Clegg tonight he came across as honest, reliable and fair. Miliband's dishonest responses didn't fool the good people of Leeds",Redcar,United Kingdom
593892985588338689,"Feel bad for Clegg. My mum has even sadly lost favour, and she used to be pro-Clegg #bbcqt",Leamington Spa,United Kingdom
593892999559512064,Idk why but that Ed miliband guy reminds me of mr bean,Wilson,United States
593893013950181376,"Ruth Davidson warning the #SNP want a separate Scottish ""STATE"", clearly she doesn't believe we're actually a COUNTRY.  #VoteSNP",Glasgow,United Kingdom
593893019075608577,"@DavidPBMaddox @KAlmsivi So, who among us plans to give in to Miliband blackmail?",Scotland,United Kingdom
593893178585042944,I think we may have the first Tory labour coalition in history both have the same policy's which is very worrying for the future.,Haddington,United Kingdom
593893187518857216,#bbcqt u heard it there. #EdMiliband prefers #tories b4 work with #SNP15 #Scotland will never forget nor forgive if it comes 2 pass #SNP15,Edinburgh,United Kingdom
593893335246512128,Surely nick clegg it's time to hang your overworn boots up when laughable ukip have a higher poll point lead than you ! Cameron's lapdog,Loughton,United Kingdom
593893348517228544,With Miliband breaking the new @UKlabour vow next week (not to team up with SNP). we really need our independence from these lying bastards!,Glasgow,United Kingdom
593893350090133504,@patel4witham @SimonHart107 @David_Cameron Still waiting for our third road off Canvey Island How long do we have to wait Wont get from Tory,Bedford,United Kingdom
593893351306481664,"@OwenJones84 you must know what Mr Miliband said tonight, are part of this Uk or not?",Innerleithen,United Kingdom
593893360349347841,Cant understand why anyone would vote for ukip!!,Huddersfield,United Kingdom
593893477450121216,"@ScotlandTonight @bbcqt Ed rather see in the tories,  think he is finished",Edinburgh,United Kingdom
593893673110282240,Miliband if you scare off big business this country will be f***ed ... #QuestionTime @bbcquestiontime,Birmingham,United Kingdom
593893688255873025,Absolutely disastrous for Miliband to say he would let Tories in if he had to do deals with SNP for government,Kingston upon Thames,United Kingdom
593893847924629505,"@OwenJones84 Let's also remember, Owen, that Ed Miliband doesn't believe the last Labour govt over-spent. #bbcqt",Kingston upon Thames,United Kingdom
593893964274671616,"@McewenB despite Tory press Cameron will not win, again",South East,United Kingdom
593893978015162368,Anyone else feel Ed Miliband is painting himself into a corner over this whole SNP business?,Brighton,United Kingdom
593893979432824833,"Miliband officially would prefer the Tories to SNP. How badly does Westminster hate Scots, or hate them having a voice in parliament?",Helensburgh,United Kingdom
593893985694920705,"Changed my mind, Ed Miliband won't be PM.  Such lack of thought...Who are his minders?!? Massive fail",Edinburgh,United Kingdom
593894119874912258,I'm #SNPbecause I cannot see any difference between Red and Blue Tories - although on that basis @EdMilliblandMP would also be #SNPbecause,Broxburn,United Kingdom
593894145065885696,This is a pure belter by @UKIP Keep Scotland Scottish right enough @AshBash_ox @george897 http://t.co/9T9pujhfqZ,Kilmarnock,United Kingdom
593894151432871936,"@Pool55SW19 seen through your Tory eyes Jill :) Miliband has far more empathy with people than Cameron ever will, roll on next Thursday :)",Manchester,United Kingdom
593894287043072000,People either think @bbcnickrobinson is a raving Tory or a paid up Labour supporter. He must be pretty impartial. #bbcqt #nickrobinson,Todmorden,United Kingdom
593894287223463936,"According to Twitter, Cameron, Miliband and Clegg all won this evening's #bbcqt by very significant margins. Much enlightenment I'm sure",Merton,United Kingdom
593894304311078912,@NicolaSturgeon He has just got the #SNP a lot more votes now... Hell Yes..,Edinburgh,United Kingdom
593894323080560641,Labour love Tory more than Scots electorate how do you feel folks who have ever voted Labour well how do you feel now? Used? abused? yes,City of London,United Kingdom
593894462620831747,@MrMirth @EtonOldBoys Thinks he can get a Tory win via the #bbc,Bradford,United Kingdom
593894479205179392,@Ed_Miliband I think you made a big mistake tonight about not making a deal with SNP. Wrong move,Cumnock,United Kingdom
593894479817478144,@zkgoh they need to realise they are supposed to be left wing. I'm voting lab to keep tories out.,Bristol,United Kingdom
593894613448040449,http://t.co/IHQkMhWDpu I missed this earlier! So #DavidCameron wouldn't oppose a 2nd referendum. Did he brief his poodle Miliband? #SNP,Edinburgh,United Kingdom
593894631328350208,"By ruling out a coalition with the SNP, Miliband is the one 'letting the Tories in'.",Newport,United Kingdom
593894646994067456,"@GerryHassan ... And English students pay nothing unless they earn over £21000 pa. £15,600 in Scotland under SNP.",Cambuslang,United Kingdom
593894784781123584,@cjwye @vach92 not just me The Economist gives it to Clegg too - rose tinted glasses I suspect #LibDems,Bickington,United Kingdom
593894795174621185,Nigel Farage questioned by people in Birmingham? LOOL this should be interesting,Camden Town,United Kingdom
593894810697752576,"@David_Cameron Make Duncan-Smith Gove Fallon Fox, etc do their bit for the Union &amp; win Tory seats in their native Scotland. @HappytobeTommy",Carlisle,United Kingdom
593894826929717248,Great find @elashton @JoeMurphyLondon .  https://t.co/ElQi8YDX8C,Brent,United Kingdom
593894960237256704,Tories queried Labour MP's plan to take maternity leave straight after election #bbcqt do you trust them on child benefits,Louth,United Kingdom
593894996807385089,Just a reminder that Nigel #Farage of the #UKIPs will be on BBC1 in a few minutes. http://t.co/8aKEFZ9UiL,Birmingham,United Kingdom
593895007280594944,@TheLastLeg #Milibrand they cut out the bit where Miliband told brand about the all bitches he screwed then showed a pic of his brother.,Gildersome,United Kingdom
593895011172880384,"@ScotlandTonight I'm glad someone is keeping 2nd referendum in news. Just thought it would be SNP, no everyone else.",Larkhall,United Kingdom
593895131549462528,If SNP went to power word on street buckfast would be tax-free and drunken assault wouldn't be a crime #nutty,Fleetwood,United Kingdom
593895133038411776,@IainDale @DouglasCarswell @Nigel_Farage we all know its Tory controlled u.k.I.p,Southend-on-Sea,United Kingdom
593895320674836480,SNP also said if they go in power if you deck a bird on a Sunday sesh in walkabout you get a pint or a half price pitcher,Fleetwood,United Kingdom
593895331655364608,nigel farage my babes,Walthamstow,United Kingdom
593895355026124801,@ruth_wishart no - would be minority government with own agenda unless SNP voted them out,Bedford,United Kingdom
593895358733950976,"@jsdp_ @debrakidd @judeenright by voting for SNP? Hey, democracy is great isn’t it? Isn’t it?",Glasgow,United Kingdom
593895366258511873,Best line on @Ed_Miliband's ruling out any deal with  @TheSNP goes to @timfarron: 'I thought Miliband was ruling out reality.',Manchester,United Kingdom
593895513214312448,@GeorgeAylett No matter Clegg you will be heading to the job centre 😅😂😅 liar 🔫,Inverkeithing,United Kingdom
593895523309977600,@NicolaSturgeon @scottreid1980 labour will propose legislation to deliver their manifesto. You decide to vote for it or vote with the Tories,Glasgow,United Kingdom
593895550891794432,"@chunkymark @4joturner @Ed_Miliband if tories get back in because Ed refuses to work with SNP, Plaid n greens then ppl wont forgive him",Glasgow,United Kingdom
593895677580673026,Nigel Farage is one slimy fucker,Huddersfield,United Kingdom
593895683977027584,I like that Farage gets his own show. http://t.co/VkKroDfOyo,Hackney,United Kingdom
593895720597467136,Polly Toynbee presumes that those in audience who questioned Miliband have to be on the right without any evidence to support her #newsnight,South East,United Kingdom
593895850859966464,How come farage has his own show??? Hope he does well and takes more of Tory vote,Hessle,United Kingdom
593895852005052416,Disingenuous of Tory high command to attack Labour's record on spending when they supported every spending plan till 08 crisis. #GE2015,Eltham,United Kingdom
593895891242721281,Stayed up to watch @Nigel_Farage lets get some more @UKIP votes.,North West,United Kingdom
593896050961817601,"@Ballochmylelab @scottishlabour LOL, The sun is #SNP :)",Glasgow,United Kingdom
593896191273865216,Not enjoying Farage without any opposition. #AskFarage,Cambridge,United Kingdom
593896203949109249,"The #bbbqt leader's debate audience was incredibly right-wing, making Miliband by comparison sound almost, well, socialist.",Manchester,United Kingdom
593896213679841280,@jimwaterson Oh they buy them - and as most papers are owned by non-doms they're pro-tory and have been for decades.,Brighton,United Kingdom
593896231115567106,"@toisich69 @Macaulich @VoteGreen7thMay Vote Labour, get Tory - now virtually guaranteed by Labour leader.",Airdrie,United Kingdom
593896397059059713,Sanctimonious #DavidCameron wheeling out his dead son to try to defend rubbish #Tory record on the #nhs. He'll stop at nothing to win #low,Sale,United Kingdom
593896423357345792,"It'll be a disaster if Labour and Ed Miliband get into power in 7 days time, especially if it's in coalition with the SNP #bbcqt",Cardiff,United Kingdom
593896549110939648,Watching #AskFarage on @BBC @UKIP @Nigel_Farage #UKIP http://t.co/O3rPkg3DSo,Clayton-le-Woods,United Kingdom
593896561525923840,Does my potato look like David Cameron? #bbcqt http://t.co/LfhU0Ko8xj,Caerphilly,United Kingdom
593896582069821440,"Not a fan of snp, but I do like the idea that Scotland is represented by 1 party",Dalrymple,United Kingdom
593896583349035010,David &amp; Bullingdon Boys FC. Born 2 make £12b of cuts without u worrying ur tiny little heads or expecting an answer https://t.co/e5rerWKhPS,Thornliebank,United Kingdom
593896738395713536,i'm voting #snp but the more I see of Milliband the more he looks like a train crash and Cameron worse dont want to support either at WM,Edinburgh,United Kingdom
593896748956909572,"""@OddMiliband: Ed Miliband trying to wear a suit http://t.co/lIPLQi587g"" he looks like Mr Bean 😂😂😂😂",Bolton,United Kingdom
593896752425631745,Nobody is fooling nick clegg http://t.co/TQgwlh7cO4,Hove,United Kingdom
593896770477907968,"Farage snubbed from the Question time and put on at the latest possible point to deter viewing figures.

Outrageous treatment of UKIP.",Sunderland,United Kingdom
593896772759588864,"@AG_ThorpeApps Oh, what is the level of youth unemployment after 5 years of Tory rule? How much richer have the Tory mates become?",South East,United Kingdom
593896783400558592,I feel sorry for Nick Clegg that everyone hates him for the whole tuition fees broken promise thing 🙈,Droitwich,United Kingdom
593896912400588800,I suspect we'd get an arrangement with his successor on May 9th if he repeats this a week tomorrow.  https://t.co/Op2W839Pf5,Richmond,United Kingdom
593896919530872832,@nickhenry76 @unionstogether nowt to do with the tories though fella. Their policies are hurting this country,South East,United Kingdom
593896934659719170,@hillyon I disagree with conservatives but as long as not ukip! I'm voting green but I'd be happy to see labour in!Understand Tory PoV tho:),Preston,United Kingdom
593896948584841217,"@YesMonifieth @ScotNational 

Has milliband just broken the union?",Edinburgh,United Kingdom
593897131162902528,"Why doe's Cameron or Miliband think that they will win the election,there are other parties involved in this election;",Nunthorpe,United Kingdom
593897137559179265,LMAO some Tory said ''clearly Miliband slipping was an indication he was ruffled by the final question'' that's so funny that he's serious.,England,United Kingdom
593897261043687426,"@roddy1314 It would martial law I fear, democracy is not an option in UK, it is a unionist dictatorship, Labour &amp; Tory as one =Lavatory",City of London,United Kingdom
593897273395978242,@Ballochmylelab @scottishlabour I thought the sun were backing the Tories/SNP 😁,Glasgow,United Kingdom
593897292790366208,@FraserNelson And? Tories have collaborated in the most deaths of sick and vulnerable people than any other civilised country; bar the Nazis,Leverington,United Kingdom
593897301430632448,@dukesy12 @AlbaView Vote Conservative for a life. Vote Labour and probably Sturgeon for a life sentence.,Hellesdon,United Kingdom
593897423648468993,How can you guarantee jobs for every young person Miliband #cloudcookoo #bbcquestiontime #bbcqt @bbcquestiontime,Birmingham,United Kingdom
593897427767267328,See Miliband was not lying when he said he wanted to build a wall and seal Scotland off from Westminster,Alexandria,United Kingdom
593897453377757185,@OriginalRKelly @trapezer @BTN_Alex @Ed_Miliband and how will you vote next Thursday after Milliband said Tories are a cert?,Glasgow,United Kingdom
593897459681775616,@dundee_dee @GeorgeAylett Not as delusional as those who say SNP is left of Labour.,Lambeth,United Kingdom
593897465386049537,Apparently Australians are criminals. #Farage #muppet,Lambeth,United Kingdom
593897474693177344,@Nigel_Farage DON'T USE HUMOUR - This is a BBC audience remember... #UKIP,Paddington,United Kingdom
593897601130483713,Nigel Farage is a really good speaker #AskNigelFarage,Wigan,United Kingdom
593897601860292608,@woodstockjag @willmill82 @Ed_Miliband Not sure I regard SNP- Labour as a progressive alliance. Certainly not based on SNP Govt performance.,Cambuslang,United Kingdom
593897630796746752,Ed Miliband can't stop SNP voting through the Labour Queens speech. He has to say something to try and save Labour in Scotland.,Inverness,United Kingdom
593897786787106816,"Typical BBC bias !  Farage audience oozing bias. Obviously hand picked by Beeb, as usual, Anti UKIP.
Utterly despicable !  Shame on the Beeb",Epsom,United Kingdom
593897960552923136,"@johnyates10 Blair wasn't the best, but still better than any Tory government. You have to admit that, after Thatcher &amp; Major?",Sheffield,United Kingdom
593897967742001153,Did Ed Miliband really admit that he'd rather Labour weren't in government than do a deal with SNP?!,Carluke,United Kingdom
593897974566133760,David Cameron gets my vote! #questiontime,Lower Sheering,United Kingdom
593898096544845826,@blairmcdougall oh we did reason we voting SNP for WM we taking u up on ur word that Scotland should lead. after 2nite looks like Scotland,Mold,United Kingdom
593898124655108097,"Farage picks up again on #HIV, not pregnancy not cancer it is pointed homophobia disgusting #bbcqt",Brighton,United Kingdom
593898132032851968,@jonnarbett @scottishfirst @OwenJones84 a real case of be careful what you wish for cause #snp are now going to WM tick tock tick tock,Edinburgh,United Kingdom
593898138336894976,@bbcnickrobinson @Ed_Miliband Lets be honest he would make a shit PM and the only way he could get there is with a deal with Sturgeon.,Hellesdon,United Kingdom
593898145014099969,@wdjstraw Saw your post re UKIP. Not my style of campaigning but we can all play if pushed. Heres one for you #fb http://t.co/13hE3Jelp9,Lancaster,United Kingdom
593898150047416320,@bellacaledonia still exciting. The real people in England will see through the 3 Tory parties soon and Greens will benefit. Vote of no conf,Edinburgh,United Kingdom
593898151318163456,UKIP member calls for English-only official documents http://t.co/IehVC1HWf8 #Lincs http://t.co/ebcPGnYDIG,Lincoln,United Kingdom
593898273762586624,Farage is an absolute barmpot,Aintree,United Kingdom
593898275717193728,My father just turned over when Farage started talking. His is of the age that may be converted by his straight to the point views. #proud,Stafford,United Kingdom
593898275813601280,"David Cameron says Israel was right to defend itself over #Gaza attacks last year
#bbcqt 
http://t.co/rdNiqKTWvq",London,United Kingdom
593898281878560768,@Briandamge64 @AyeMcClane @democraticaudit the Tories don't need most seats. They'll make deals with all the devils possible.,Aberdeen,United Kingdom
593898317316231168,Farage never fails to stun me. Incredible capacity to blame anything on immigrants. #AskFarage,Cambridge,United Kingdom
593898322974367744,Farage hasn't learnt. Still shamefully using HIV to attack immigrants. Why is he allowed to get away with this rubbish?,Hallen,United Kingdom
593898607062994944,"Well, I thought David Cameron was better on @Cassetteboy #bbcqt",Margate,United Kingdom
593898614222622720,@Charliemalone5 to say he would rather have a Tory government than do a deal with the snp is the final nail in the coffin,Glasgow,United Kingdom
593898622091173888,"Miliband says he won't do a deal with the SNP.
I will.
#VoteMeNotMiliband #DoncasterNorth",Sheffield,United Kingdom
593898633331941377,Election 2015: 'No Labour government if SNP deal' - http://t.co/5P0Khd5qai,Eltham,United Kingdom
593898637807198208,Please Give Reasons Behind Your Decision Has My Opinion Has A Member Is It's A Wrong Decision So Prove Me Wrong...Ta https://t.co/Jvy5ldfRkj,Warrington,United Kingdom
593898655121276928,"Labour forced Royal London Hospital to get a private firm to build it's £1b new building under pfi,SNP govnt paid for Glasgow's £1b hospital",Walthamstow,United Kingdom
593898782900772864,"Got a great joke 4 you all ... 

... Ed Miliband",Waddesdon,United Kingdom
593898786860232704,Go nige #AskTheLeader #AskFarage #AskNigelFarage #UKIP,Kippax,United Kingdom
593898789666172928,"Nigel Farage bigging up the Sikh Community in Britain. Many UKIP representations apparently.
Hmm
Not for me.",East Midlands,United Kingdom
593898943798497280,"@UKIP the question is, What in God's name are the other 23% thinking of? Do they want totally open borders? Fifth columnists surely..",Blackwell,United Kingdom
593898965587914753,Farage never heard of pearl harbour?  #AskNigelFarage,Dudley,United Kingdom
593898971770318848,@georgeeaton Ed did well. He ruled out any kind of deal with the SNP. He was principled and you can't fault that.,Leeds,United Kingdom
593898985791868929,"My life is literally a burden, SY police, nick clegg at the end of my road, always on the border of a better grade, always anxious like help",Sheffield,United Kingdom
593898989671579648,It seems incongruous that a born and bred Scottish soldier who was serving his country was denied a vote on Indy by the SNP. Shameful!,Irvine,United Kingdom
593899109972598785,Loved the little trip Mr Miliband pity it wasn't from a greater height @bbcquestiontime #bbcqt,Birmingham,United Kingdom
593899110157131776,I'm going to be cortavertial........I don't actually mind Nick Clegg.,Queensferry,United Kingdom
593899136518365185,"@iancollier1950 tories win, more cuts made, UKIP may be nothing next time, where will the disaffected go next EDL return to BNP",Bradford,United Kingdom
593899164368543744,@NicolaSturgeon and the @theSNP the only ones not talking about another referendum - the rest bringing it up to put people off voting SNP,Edinburgh,United Kingdom
593899166536966144,"Whatever your opinion of Farage, he makes valid points about us getting involved in unnecessary foreign wars.",Berinsfield,United Kingdom
593899185935626240,"#bbcqt 
Is this a debate or a ukip lecture",Canvey Island,United Kingdom
593899342446141440,#leadersdebate Immigration seem to be a RUDE word to #UKIP No it is not it is RACIST,Daventry,United Kingdom
593899350423642114,i voted yes i want independence but i dont want a Quebec senario we must have everything in place before we go again bide our time #snp,Edinburgh,United Kingdom
593899352785051648,@UKIPBOT Farage would have been way ahead of the other 3 Straight &amp; to the point,Liverpool,United Kingdom
593899361676984321,"#AskNigelFarage .Farage:""many ethnic communities say immigration control is not a matter of race""....No it's a case of I'm all right Jack.",East,United Kingdom
593899362834587648,DO NOT LET UKIP REFERENDUM BLOKE SAY ANYTHING,Neath,United Kingdom
593899363182739457,#RT @TheLastLeg Infamy at last. Changing my name to Tory Manifesto tomorrow. Thanks for the tip ;-),Bristol,United Kingdom
593899375836954624,@agendaitv @Nick_Hewer A BBC employee having a pop at Farage.....shock,Portsmouth,United Kingdom
593899383755792384,no I just can't actually convey how much I fancy nick clegg,Greenwich,United Kingdom
593899519693168640,Did we just witness ed milliband committing political suicide tonight on TV? Prefers Tories in power to dealing with SNP?!,Glasgow,United Kingdom
593899532397707264,"@MrProWestie so who you going to put that X next to westie?? @UKLabour?, @Conservatives? @LibDems? or maybe @UKIP?, @TheGreenParty?....",Neath,United Kingdom
593899559283204098,Is UKIP turning into a mainstream party?,East Ham,United Kingdom
593899565331382272,#AskNigelFarage #UKIP closet racists asks questioner. They are not in the closet actually,London,United Kingdom
593899569844477952,@raymondonia Cameron got Tory questions from Tory audience.. That's Dimbleby 4U,Belfast,United Kingdom
593899712249470977,Again how do you know?  https://t.co/KnGGYmCe6d,Wandsworth,United Kingdom
593899714971639809,Aw actually feel sorry for Ed Miliband on a human level for tripping at the end :( #QuestionTime,Swindon,United Kingdom
593899879077912576,"Farage wants an Australian type immigration border control. Just because Australia turns someone down, doesn't mean they're racist.",Newcastle Upon Tyne,United Kingdom
593899884568322049,"#AskNigelFarage ""Are #UKIP closet racists?"" ""Any sensible person can see that we're not."" Aside from the idealists, apparently.",Fareham,United Kingdom
593900097819258881,David Cameron thinks its 'fair' to do 'whatever he can' to win #ELECTION2015  remember these words! #bbcqt #emptywords + #lies,Sale,United Kingdom
593900104949624833,Farage is bang on about the commonwealth,Northwich,United Kingdom
593900111006146560,The politics section of Pie &amp; Bovril is cracking!! Basically everyone is pro independence and SNP!! Brilliant!,Arbroath,United Kingdom
593900267143323649,@AJ2quack @ScotNational preferring a Tory government to democracy? Risky is certainly one word for it,Glasgow,United Kingdom
593900268221235201,Imagine openly admitting that you're voting for UKIP,Garston,United Kingdom
